obsid next_obsid time timestop date datestop gui_ms manvr_angle one_shot roll_err point_err
17109 16361 544955370.99 545062527.5705036 2015:099:08:28:23.806 2015:100:14:14:20.387 ENAB 94.6533469681883 22.528472900390625 1.6765073052207364 0.690353961329679
16361 17645 545064558.096 545074718.9211863 2015:100:14:48:10.912 2015:100:17:37:31.737 ENAB 94.6533469681883 20.63706398010254 0.8280880812150532 0.4865657506593005
17645 17398 545076751.4959999 545121911.9738292 2015:100:18:11:24.312 2015:101:06:44:04.790 ENAB 48.18304233657419 4.822197914123535 1.8253051853453977 0.6674647483392833
17398 51959 545123298.799 545133827.5994965 2015:101:07:07:11.615 2015:101:10:02:40.415 ENAB 0.0 2.740323305130005 1.2128906700075617 0.599770693345267
51958 51957 545135254.4 545138107.9997362 2015:101:10:26:27.216 2015:101:11:14:00.816 ENAB 62.72573081953301 3.524108648300171 1.5664057380249286 0.9193244654032054
51957 51956 545139690.5999999 545176438.9018826 2015:101:11:40:23.416 2015:101:21:52:51.718 ENAB 86.7868598396406 24.721708297729492 2.183351003736679 0.9357028424638937
51956 17024 545178357.702 545185049.927365 2015:101:22:24:50.518 2015:102:00:16:22.743 ENAB 24.399955980969647 12.933759689331055 1.5902743701893571 0.6973307782026844
17024 17646 545186082.102 545190410.6776651 2015:102:00:33:34.918 2015:102:01:45:43.494 ENAB 105.47125712082352 2.3923192024230957 1.2687439549759592 0.6279859121556621
17646 16960 545192556.003 545277746.8325559 2015:102:02:21:28.819 2015:103:02:01:19.649 ENAB 63.34159475409713 11.598686218261719 1.919561873431563 0.6642849637554996
16960 17647 545279340.708 545319674.4599038 2015:103:02:27:53.524 2015:103:13:40:07.276 ENAB 63.34159475409713 11.909090995788574 1.7657493596319864 0.6956896752814042
17647 51955 545321259.11 545364337.812405 2015:103:14:06:31.926 2015:104:02:04:30.628 ENAB 0.0 3.5422823429107666 1.6276009154439672 0.65781193513649
51954 51953 545365932.712 545371792.6378224 2015:104:02:31:05.528 2015:104:04:08:45.454 ENAB 11.309890185702358 2.489806652069092 2.173551058404081 0.6861630541903684
51953 51952 545372546.013 545400916.9894533 2015:104:04:21:18.829 2015:104:12:14:09.805 ENAB 160.7876230329749 39.80710983276367 3.333158410090815 0.7192054576596746
51952 17649 545403853.615 545409933.9149582 2015:104:13:03:06.431 2015:104:14:44:26.731 ENAB 38.594980642832816 13.196802139282227 1.551216907256212 0.6698545048603777
17649 17092 545411188.515 545441376.816685 2015:104:15:05:21.331 2015:104:23:28:29.633 ENAB 173.79386589344756 18.998859405517578 1.140664755004864 0.7487320415245872
17092 17411 545444460.017 545452523.6923084 2015:105:00:19:52.833 2015:105:02:34:16.508 ENAB 83.29417639983082 18.10198974609375 1.8006748991264818 0.5440193156205431
17411 17108 545454398.417 545468563.9182055 2015:105:03:05:31.233 2015:105:07:01:36.734 ENAB 42.83982231647882 12.02641773223877 1.2301677827567443 0.5710811722688062
17108 17397 545469880.018 545540355.9472202 2015:105:07:23:32.834 2015:106:02:58:08.763 ENAB 41.752136749351706 4.711239337921143 2.020509248326131 0.6855053376453643
17397 17644 545541662.822 545552283.8728873 2015:106:03:19:55.638 2015:106:06:16:56.689 ENAB 106.50171886063018 14.471597671508789 0.8224907983030153 0.7340308863251342
17644 51951 545554454.823 545593300.2751807 2015:106:06:53:07.639 2015:106:17:40:33.091 ENAB 0.0 4.047536849975586 0.726892795341443 0.6014996431339183
51950 51949 545595631.125 545601497.2006391 2015:106:18:19:23.941 2015:106:19:57:10.017 ENAB 95.02316148186807 29.40053367614746 1.7203470707597261 0.5837069310394587
51949 51948 545603552.326 545633729.3524413 2015:106:20:31:25.142 2015:107:04:54:22.168 ENAB 26.849720738704946 6.427437782287598 2.3390157990552347 0.6455625202997834
51948 17110 545634802.528 545639496.0027637 2015:107:05:12:15.344 2015:107:06:30:28.819 ENAB 23.859206476982717 4.076810359954834 1.2987440780571642 0.6431762718378862
17110 17407 545640517.928 545732253.3829496 2015:107:06:47:30.744 2015:108:08:16:26.199 ENAB 39.308337256483874 1.9599779844284058 1.7228639250158748 0.650201728795827
17407 17408 545733522.3330001 545749181.258896 2015:108:08:37:35.149 2015:108:12:58:34.075 ENAB 0.42699881650920934 1.18928062915802 1.7285862224010773 0.6041108182212335
17408 17409 545749508.234 545764690.534763 2015:108:13:04:01.050 2015:108:17:17:03.351 ENAB 0.17097154213569374 0.724614143371582 2.1397337954761726 0.6920371225039715
17409 17091 545765014.4350001 545780200.83563 2015:108:17:22:27.251 2015:108:21:35:33.652 ENAB 63.303389645483136 2.227367401123047 1.8776479160811375 0.7032764845556067
