obsid next_obsid time timestop date datestop gui_ms manvr_angle one_shot roll_err point_err
17198 51450 565605728.1420001 565699014.4222279 2015:338:08:40:59.958 2015:339:10:35:46.238 DISA 0.0 7.35446310043335 2.076623818045767 0.4962739724377143
51440 18718 565750367.9499999 565751478.0251994 2015:340:00:51:39.766 2015:340:01:10:09.841 DISA 19.754693487817853 7.411962509155273 1.705190735499768 0.4478183889032606
18718 51439 565752413.85 565812681.803666 2015:340:01:25:45.666 2015:340:18:10:13.620 DISA 19.863994850606165 3.241629123687744 2.2082846188900884 0.49156937428104974
18168 18091 573544068.5780001 573554218.1290201 2016:065:05:46:40.394 2016:065:08:35:49.945 DISA 12.05599998965929 5.314050674438477 1.297202719389054 0.4966221004137207
18091 18157 573554986.879 573567735.8297926 2016:065:08:48:38.695 2016:065:12:21:07.646 DISA 87.0013351301116 18.21018409729004 1.2818271960882133 0.49013083551479436
18157 18725 573569656.6800001 573579825.7054834 2016:065:12:53:08.496 2016:065:15:42:37.521 DISA 104.10498213259302 10.610668182373047 0.8934857184501637 0.408326553202956
18725 18276 573581960.781 573602144.0567585 2016:065:16:18:12.597 2016:065:21:54:35.873 DISA 36.427164147291215 13.482037544250488 1.1575852088159049 0.4323072050137828
18276 18201 573603362.782 573688913.3867135 2016:065:22:14:54.598 2016:066:22:00:45.203 DISA 7.618101364808961 2.777414321899414 1.4311331594944252 0.3517785383820948
18201 18803 573689552.987 573695825.9871081 2016:066:22:11:24.803 2016:066:23:55:57.803 DISA 146.1806687585349 47.131195068359375 2.282544003855284 0.4996862634935357
18803 51212 573698572.987 573702204.5624721 2016:067:00:41:44.803 2016:067:01:42:16.378 DISA 0.0 5.473670482635498 1.0852689509710918 0.2887818056048545
51211 51210 573704296.5879999 573707489.4627738 2016:067:02:17:08.404 2016:067:03:10:21.279 DISA 98.70083575141767 19.904151916503906 1.0372620425798915 0.3561973422723424
51210 51209 573709577.388 573722736.3386439 2016:067:03:45:09.204 2016:067:07:24:28.155 DISA 113.84753677990372 24.51897430419922 1.8211981634991286 0.44695391963683734
51209 51208 573725026.189 573738353.2395351 2016:067:08:02:38.005 2016:067:11:44:45.056 DISA 67.78921696111 11.487266540527344 1.5790656145472295 0.3074699920183366
51208 17720 573740003.49 573746545.0400026 2016:067:12:12:15.306 2016:067:14:01:16.856 DISA 77.41358627056758 26.022157669067383 0.7915000218164975 0.3348202871091853
17720 18304 573748412.59 573752112.8403202 2016:067:14:32:24.406 2016:067:15:34:04.656 DISA 31.179311332836065 5.401536464691162 0.5669743281704558 0.2872381235510151
18304 18212 573753262.89 573763443.1909666 2016:067:15:53:14.706 2016:067:18:42:55.007 DISA 121.8741992635905 7.727116584777832 1.1897717082173298 0.326512440821499
18212 18272 573765812.991 573782998.1420821 2016:067:19:22:24.807 2016:068:00:08:49.958 DISA 6.650618493022872 3.137112617492676 2.99649892117694 0.37734780166801335
18272 51207 573783611.092 573804514.9433093 2016:068:00:19:02.908 2016:068:06:07:26.759 DISA 28.08421939003584 8.660114288330078 1.1921706766767561 0.4032462925575323
18790 51206 573808555.494 573833704.8949738 2016:068:07:14:47.310 2016:068:14:13:56.711 DISA 147.57875116711935 18.814289093017578 1.7996363185038762 0.4298322973905862
18791 51205 573837710.595 573873129.4722211 2016:068:15:20:42.411 2016:069:01:11:01.288 DISA 27.86940943334559 2.9845404624938965 1.2940775263970514 0.447283372356536
18800 51204 573877152.597 573902310.198884 2016:069:02:18:04.413 2016:069:09:17:22.015 DISA 147.1543864349457 20.470565795898438 1.8223500075345749 0.47591759600845057
18792 51203 573906319.999 573928186.3253583 2016:069:10:24:11.815 2016:069:16:28:38.141 DISA 0.0 6.260276794433594 1.2604200058523782 0.48368125930329126
51202 51201 573929554.6999999 573933130.92564 2016:069:16:51:26.516 2016:069:17:51:02.742 DISA 46.80983370712786 7.482080936431885 1.206327458941656 0.38970025026686683
51201 51200 573934495.201 573946674.2514114 2016:069:18:13:47.017 2016:069:21:36:46.067 DISA 107.28382393610525 33.70574188232422 0.6739637834955299 0.3876647575424288
51200 51199 573948898.502 573964034.6774002 2016:069:22:13:50.318 2016:070:02:26:06.493 DISA 71.72562333345418 12.839645385742188 1.5879313618399917 0.48770163583935644
51199 51198 573965729.002 573970235.9277533 2016:070:02:54:20.818 2016:070:04:09:27.744 DISA 28.758251727164104 4.720950126647949 1.903064709171776 0.45245851005748494
51198 18469 573971346.003 573976473.0531086 2016:070:04:27:57.819 2016:070:05:53:24.869 DISA 58.90510958547816 6.774602890014648 0.8868632718349692 0.45588617935676007
18469 18194 573978061.803 573989018.0288229 2016:070:06:19:53.619 2016:070:09:22:29.845 DISA 56.77617469003965 14.11547565460205 0.7339199575538279 0.39557828015480434
18194 18801 573990517.604 574000705.0794883 2016:070:09:47:29.420 2016:070:12:37:16.895 DISA 45.28118523813311 1.9689784049987793 1.9605807466642016 0.47226815452308374
18801 18793 574002050.905 574032270.9812852 2016:070:12:59:42.721 2016:070:21:23:22.797 DISA 58.504122211311284 16.644258499145508 0.960258117184961 0.4298673967422201
18793 17213 574033809.5059999 574112045.7108243 2016:070:21:49:01.322 2016:071:19:32:57.527 DISA 100.90893797221693 2.3397700786590576 1.2505966521975092 0.39008094034848406
17213 18809 574114132.611 574144021.6126428 2016:071:20:07:44.427 2016:072:04:25:53.429 DISA 118.25962623439096 10.607769966125488 0.6736968427023317 0.4199584051716864
18809 51197 574146342.213 574151442.6130646 2016:072:05:04:34.029 2016:072:06:29:34.429 DISA 0.0 4.5719380378723145 1.5037006469047542 0.49189013658137665
51197 51196 574151942.813 574152456.3381224 2016:072:06:37:54.629 2016:072:06:46:28.154 DISA 18.252288101816028 2.437631368637085 3.188593789416383 0.39794412371837434
51196 51195 574153357.313 574159221.3385069 2016:072:07:01:29.129 2016:072:08:39:13.155 DISA 51.303420499049714 18.8900146484375 1.5219335875988689 0.339306468716596
51195 51194 574160671.714 574178836.7646221 2016:072:09:03:23.530 2016:072:14:06:08.581 DISA 98.18488669047845 26.916860580444336 2.2053391248234204 0.3600043556465646
51178 51177 574613574.139 574616108.9646075 2016:077:14:51:45.955 2016:077:15:34:00.781 DISA 32.288698004162235 5.795365333557129 1.6418202912399524 0.36040044976618846
17495 51163 575035332.964 575068098.1154293 2016:082:12:01:04.780 2016:082:21:07:09.931 DISA 0.0 5.543115139007568 3.836741080561139 0.5383906008733035
18807 18620 575135512.369 575164674.6459455 2016:083:15:50:44.185 2016:083:23:56:46.462 DISA 77.49867567099082 33.48820877075195 3.095097483478751 0.5001197948892708
